X,Y,Z
-0.745108,-0.985626,3.98
-0.736826,-0.985626,3.98
-0.728543,-0.985626,3.98
-0.72026,-0.985626,3.98
-0.711977,-0.985626,3.98
-0.691671,-0.968786,3.912
-0.683529,-0.968786,3.912
-0.678845,-0.985626,3.98
-0.107607,-0.197125,0.796
-0.105551,-0.196382,0.793
-0.101219,-0.194401,0.785
-0.0998386,-0.194896,0.787
-0.0985751,-0.195639,0.79
-0.096931,-0.195639,0.79
-0.0952869,-0.195639,0.79
-0.0932872,-0.194896,0.787
-0.0904848,-0.19242,0.777
-0.0885246,-0.191677,0.774
-0.0869138,-0.191677,0.774
-0.085303,-0.191677,0.774
-0.0828271,-0.189696,0.766
-0.046076,-0.161464,0.652
-0.0443075,-0.159979,0.646
-0.0428301,-0.159483,0.644
-0.0414898,-0.159483,0.644
-0.0400249,-0.158988,0.642
-0.0386888,-0.158988,0.642
-0.0372363,-0.158493,0.64
-0.0358483,-0.158245,0.639
-0.0345724,-0.158493,0.64
-0.0329808,-0.157254,0.635
-0.0315596,-0.156759,0.633
-0.0302422,-0.156759,0.633
-0.0288791,-0.156512,0.632
-0.0271713,-0.154283,0.623
-0.987491,-0.425308,1.732
-1.00661,-0.435131,1.772
-1.00292,-0.435131,1.772
-0.999234,-0.435131,1.772
-0.995546,-0.435131,1.772
-0.991858,-0.435131,1.772
-0.995978,-0.438569,1.786
-1.00004,-0.442007,1.8
-1.0046,-0.44569,1.815
-1.00082,-0.44569,1.815
-1.00473,-0.449128,1.829
-1.00092,-0.449128,1.829
-1.0053,-0.452811,1.844
-1.00146,-0.452811,1.844
-1.00574,-0.456495,1.859
-1.2489,-0.580256,2.363
-1.2703,-0.592534,2.413
-1.25217,-0.586395,2.388
-1.26026,-0.592534,2.413
-1.28281,-0.605549,2.466
-1.26369,-0.598919,2.439
-1.25861,-0.598919,2.439
-1.25353,-0.598919,2.439
-1.24846,-0.598919,2.439
-1.21738,-0.586395,2.388
-1.19972,-0.580256,2.363
-0.909799,-0.671113,2.733
-0.904111,-0.671113,2.733
-0.920777,-0.687811,2.801
-0.914948,-0.687811,2.801
-0.887048,-0.671113,2.733
-0.88136,-0.671113,2.733
-0.865419,-0.663255,2.701
-0.849611,-0.655397,2.669
-0.854177,-0.663255,2.701
-0.8963,-0.705246,2.872
-0.901483,-0.714086,2.908
-0.895431,-0.714086,2.908
-0.878369,-0.705246,2.872
-0.799855,-0.944175,3.845
-0.791853,-0.944175,3.845
-0.783851,-0.944175,3.845
-0.775849,-0.944175,3.845
-0.781227,-0.960627,3.912
-0.773085,-0.960627,3.912
-0.764944,-0.960627,3.912
-0.756802,-0.960627,3.912
-0.748661,-0.960627,3.912
-0.740519,-0.960627,3.912
-0.745108,-0.977326,3.98
-0.736826,-0.977326,3.98
-0.728543,-0.977326,3.98
-0.733108,-0.99476,4.051
-0.711977,-0.977326,3.98
-0.703694,-0.977326,3.98
-0.695411,-0.977326,3.98
-0.687128,-0.977326,3.98
-0.678845,-0.977326,3.98
-0.107607,-0.195465,0.796
-0.105551,-0.194728,0.793
-0.101219,-0.192764,0.785
-0.0998386,-0.193255,0.787
-0.0989494,-0.194728,0.793
-0.0972991,-0.194728,0.793
-0.0956487,-0.194728,0.793
-0.0936428,-0.193992,0.79
-0.0904848,-0.190799,0.777
-0.0888677,-0.190799,0.777
-0.0872507,-0.190799,0.777
-0.085303,-0.190063,0.774
-0.0831515,-0.188835,0.769
